"uid","yr","mo","dy","hr","lon","lat","dck","sid","pt","id","sst","at","w","d","slp","n","date.flag","date","local","samp.flag","id.class","date.var","vs","ds","vsi","dsi","lon2","join.id","primary.id","id.tidy"
"71829","02063H",1878,7,25,2,-27.5,-28.5,192,1,0,"01010156",20,21,4.6,360,NA,2,0,1878-07-25 02:00:00,1878-07-25 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-27.5,"01010156","01010156",NA
"71834","02064R",1878,7,25,6,-27.5,-28.5,192,1,0,"01010156",19.8,20,4.6,23,NA,1,0,1878-07-25 06:00:00,1878-07-25 04:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-27.5,"01010156","01010156",NA
"71837","020660",1878,7,25,10,-27.5,-28.5,192,1,0,"01010156",18.7,19.2,4.6,360,NA,0,0,1878-07-25 10:00:00,1878-07-25 08:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-27.5,"01010156","01010156",NA
"71847","02067G",1878,7,25,14,-27.5,-27.5,192,1,0,"01010156",18.8,19.3,4.6,45,NA,0,0,1878-07-25 14:00:00,1878-07-25 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-27.5,"01010156","01010156",NA
"71854","02068T",1878,7,25,18,-26.5,-27.5,192,1,0,"01010156",18,19.3,4.6,45,NA,0,0,1878-07-25 18:00:00,1878-07-25 16:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71860","0206A7",1878,7,25,22,-26.5,-27.5,192,1,0,"01010156",20.5,19.8,2.6,360,NA,0,0,1878-07-25 22:00:00,1878-07-25 20:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71862","0206BC",1878,7,26,2,-26.5,-27.5,192,1,0,"01010156",20,21,1,360,NA,2,0,1878-07-26 02:00:00,1878-07-26 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71867","0206CS",1878,7,26,6,-26.5,-27.5,192,1,0,"01010156",20.3,21.5,1,338,NA,1,0,1878-07-26 06:00:00,1878-07-26 04:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71870","0206E5",1878,7,26,10,-25.5,-27.5,192,1,0,"01010156",20.3,21.3,1,293,NA,0,0,1878-07-26 10:00:00,1878-07-26 08:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-25.5,"01010156","01010156",NA
"71879","0206FU",1878,7,26,14,-25.5,-27.5,192,1,0,"01010156",20,21,0,361,NA,0,0,1878-07-26 14:00:00,1878-07-26 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-25.5,"01010156","01010156",NA
"71887","0206HA",1878,7,26,18,-25.5,-27.5,192,1,0,"01010156",20.2,21.2,0,361,NA,0,0,1878-07-26 18:00:00,1878-07-26 16:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-25.5,"01010156","01010156",NA
"71893","0206IP",1878,7,26,22,-25.5,-27.5,192,1,0,"01010156",20,20,1,23,NA,0,0,1878-07-26 22:00:00,1878-07-26 20:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-25.5,"01010156","01010156",NA
"71895","0206K3",1878,7,27,2,-25.5,-27.5,192,1,0,"01010156",20.2,21.5,1,23,NA,2,0,1878-07-27 02:00:00,1878-07-27 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-25.5,"01010156","01010156",NA
"71900","0206LE",1878,7,27,6,-26.5,-27.5,192,1,0,"01010156",20.2,21.8,0,361,NA,2,0,1878-07-27 06:00:00,1878-07-27 04:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71903","0206MP",1878,7,27,10,-26.5,-27.5,192,1,0,"01010156",20,20,0,361,NA,2,0,1878-07-27 10:00:00,1878-07-27 08:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71912","0206O7",1878,7,27,14,-26.5,-27.5,192,1,0,"01010156",20,19.8,1,23,NA,2,0,1878-07-27 14:00:00,1878-07-27 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71921","0206PS",1878,7,27,18,-26.5,-27.5,192,1,0,"01010156",20,19.5,1,23,NA,2,0,1878-07-27 18:00:00,1878-07-27 16:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71927","0206R5",1878,7,27,22,-26.5,-27.5,192,1,0,"01010156",20.2,18.9,1,23,NA,2,0,1878-07-27 22:00:00,1878-07-27 20:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71929","0206SI",1878,7,28,2,-26.5,-27.5,192,1,0,"01010156",20.5,21,1,45,NA,1,0,1878-07-28 02:00:00,1878-07-28 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71934","0206TV",1878,7,28,6,-26.5,-27.5,192,1,0,"01010156",20,19.5,2.6,45,NA,2,0,1878-07-28 06:00:00,1878-07-28 04:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71937","0206V6",1878,7,28,10,-26.5,-27.5,192,1,0,"01010156",20,19.5,2.6,45,NA,2,0,1878-07-28 10:00:00,1878-07-28 08:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71945","0206WN",1878,7,28,14,-26.5,-27.5,192,1,0,"01010156",20,19.5,4.6,68,NA,2,0,1878-07-28 14:00:00,1878-07-28 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71954","0206Y4",1878,7,28,18,-26.5,-26.5,192,1,0,"01010156",19.8,19.3,4.6,68,NA,3,0,1878-07-28 18:00:00,1878-07-28 16:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71960","0206ZG",1878,7,28,22,-26.5,-26.5,192,1,0,"01010156",20.8,19.8,6.7,90,NA,4,0,1878-07-28 22:00:00,1878-07-28 20:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-26.5,"01010156","01010156",NA
"71962","02070L",1878,7,29,2,-27.5,-26.5,192,1,0,"01010156",20.3,21,6.7,90,NA,4,0,1878-07-29 02:00:00,1878-07-29 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-27.5,"01010156","01010156",NA
