"uid","yr","mo","dy","hr","lon","lat","dck","sid","pt","id","sst","at","w","d","slp","n","date.flag","date","local","samp.flag","id.class","date.var","vs","ds","vsi","dsi","lon2","join.id","primary.id","id.tidy"
"61","01ZRVA",1878,5,16,2,-33.5,-16.5,192,1,0,"01010157",26.4,26.4,9.3,90,NA,1,0,1878-05-16 02:00:00,1878-05-16 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-33.5,"01010157","01010157",NA
"64","01ZRYD",1878,5,16,14,-34.5,-17.5,192,1,0,"01010157",27.3,29.3,2.6,23,NA,2,0,1878-05-16 14:00:00,1878-05-16 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-34.5,"01010157","01010157",NA
"67","01ZS1B",1878,5,17,2,-34.5,-18.5,192,1,0,"01010157",25.8,26.3,6.7,23,NA,3,0,1878-05-17 02:00:00,1878-05-17 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-34.5,"01010157","01010157",NA
"70","01ZS4I",1878,5,17,14,-34.5,-19.5,192,1,0,"01010157",27,28.3,6.7,338,NA,2,0,1878-05-17 14:00:00,1878-05-17 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-34.5,"01010157","01010157",NA
"73","01ZS7F",1878,5,18,2,-34.5,-19.5,192,1,0,"01010157",25.5,22.5,19,203,NA,6,0,1878-05-18 02:00:00,1878-05-18 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-34.5,"01010157","01010157",NA
"76","01ZSAL",1878,5,18,14,-34.5,-19.5,192,1,0,"01010157",26,24.5,15.4,180,NA,8,0,1878-05-18 14:00:00,1878-05-18 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-34.5,"01010157","01010157",NA
"79","01ZSDE",1878,5,19,2,-34.5,-20.5,192,1,0,"01010157",25,24.6,6.7,135,NA,6,0,1878-05-19 02:00:00,1878-05-19 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-34.5,"01010157","01010157",NA
"82","01ZSGF",1878,5,19,14,-35.5,-20.5,192,1,0,"01010157",24.5,23.5,12.3,158,NA,8,0,1878-05-19 14:00:00,1878-05-19 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-35.5,"01010157","01010157",NA
"85","01ZSJ6",1878,5,20,2,-35.5,-20.5,192,1,0,"01010157",25,24.5,9.3,135,NA,4,0,1878-05-20 02:00:00,1878-05-20 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-35.5,"01010157","01010157",NA
"88","01ZSM1",1878,5,20,14,-36.5,-21.5,192,1,0,"01010157",25.5,24.8,9.3,135,NA,3,0,1878-05-20 14:00:00,1878-05-20 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-36.5,"01010157","01010157",NA
"91","01ZSON",1878,5,21,2,-37.5,-22.5,192,1,0,"01010157",24,23.7,6.7,135,NA,3,0,1878-05-21 02:00:00,1878-05-21 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-37.5,"01010157","01010157",NA
"94","01ZSS2",1878,5,21,15,-38.5,-22.5,192,1,0,"01010157",24.5,24.5,4.6,158,NA,3,0,1878-05-21 15:00:00,1878-05-21 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-38.5,"01010157","01010157",NA
"97","01ZSUW",1878,5,22,3,-39.5,-23.5,192,1,0,"01010157",23,22.4,6.7,135,NA,2,0,1878-05-22 03:00:00,1878-05-22 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-39.5,"01010157","01010157",NA
"100","01ZSY2",1878,5,22,15,-39.5,-23.5,192,1,0,"01010157",25,25.3,4.6,180,NA,3,0,1878-05-22 15:00:00,1878-05-22 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-39.5,"01010157","01010157",NA
"103","01ZT0X",1878,5,23,3,-40.5,-24.5,192,1,0,"01010157",24.7,22.7,4.6,135,NA,5,0,1878-05-23 03:00:00,1878-05-23 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-40.5,"01010157","01010157",NA
"106","01ZT4E",1878,5,23,15,-41.5,-24.5,192,1,0,"01010157",22.8,25.2,6.7,180,NA,1,0,1878-05-23 15:00:00,1878-05-23 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-41.5,"01010157","01010157",NA
"109","01ZT7F",1878,5,24,3,-42.5,-25.5,192,1,0,"01010157",23.3,21.4,12.3,135,NA,5,0,1878-05-24 03:00:00,1878-05-24 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-42.5,"01010157","01010157",NA
"112","01ZTAY",1878,5,24,15,-43.5,-26.5,192,1,0,"01010157",24.2,21.4,15.4,135,NA,1,0,1878-05-24 15:00:00,1878-05-24 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-43.5,"01010157","01010157",NA
"115","01ZTE0",1878,5,25,3,-44.5,-27.5,192,1,0,"01010157",21.8,20.7,9.3,113,NA,2,0,1878-05-25 03:00:00,1878-05-25 00:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-44.5,"01010157","01010157",NA
"118","01ZTHR",1878,5,25,15,-45.5,-28.5,192,1,0,"01010157",21,20.5,9.3,113,NA,3,0,1878-05-25 15:00:00,1878-05-25 12:00:00,"L","sailing_vessel","local",NA,NA,NA,NA,-45.5,"01010157","01010157",NA
