"","yr","mo","dy","hr","dck","id","lat","lon","w","d"
"415",2021,1,1,0,992,"AMOUK05",51.9,4.1,NA,NA
"480",2021,1,1,0,992,"WDG7520",48.7,237.5,1,80
"785",2021,1,1,0,992,"WCE5063",41.6,288.6,3.1,280
"1630",2021,1,1,0,992,"WDA7827",21.3,202.1,8.2,60
"1655",2021,1,1,0,992,"WGAE",18.9,39.5,NA,NA
"1807",2021,1,1,0,992,"KAOU",1.3,205.2,8.7,100
"7577",2021,1,1,1,992,"AMOUK05",51.9,4.1,NA,NA
"7622",2021,1,1,1,992,"WDG7520",48.7,237.5,1.5,50
"7906",2021,1,1,1,992,"WCE5063",41.6,288.6,2.1,290
"8643",2021,1,1,1,992,"WDA7827",21.3,202.1,7.7,60
"8664",2021,1,1,1,992,"WGAE",19.2,39.4,NA,NA
"8773",2021,1,1,1,992,"KAOU",1.1,205.2,7.7,100
"14427",2021,1,1,2,992,"AMOUK05",51.9,4.1,NA,NA
"14474",2021,1,1,2,992,"WDG7520",48.7,237.5,1,110
"14761",2021,1,1,2,992,"WCE5063",41.6,288.6,5.1,320
"15466",2021,1,1,2,992,"WDA7827",21.3,202.1,8.2,60
"15491",2021,1,1,2,992,"WGAE",19.4,39.3,NA,NA
"15603",2021,1,1,2,992,"KAOU",0.9,205.2,7.7,100
"21240",2021,1,1,3,992,"AMOUK05",51.9,4.1,NA,NA
"21289",2021,1,1,3,992,"WDG7520",48.7,237.5,2.1,130
"21577",2021,1,1,3,992,"WCE5063",41.6,288.6,3.6,300
"22302",2021,1,1,3,992,"WDA7827",21.3,202.1,8.2,50
"22319",2021,1,1,3,992,"WGAE",19.7,39.3,2.1,200
"22449",2021,1,1,3,992,"KAOU",0.8,205.2,8.7,100
"28132",2021,1,1,4,992,"AMOUK05",51.9,4.1,NA,NA
"28182",2021,1,1,4,992,"WDG7520",48.7,237.5,2.6,150
"28472",2021,1,1,4,992,"WCE5063",41.6,288.6,3.6,320
"29188",2021,1,1,4,992,"WDA7827",21.3,202.1,5.1,50
"29353",2021,1,1,4,992,"KAOU",0.6,205.3,8.2,90
"34268",2021,1,1,5,992,"AMOUK05",51.9,4.1,NA,NA
"34313",2021,1,1,5,992,"WDG7520",48.7,237.5,3.1,150
"34588",2021,1,1,5,992,"WCE5063",41.6,288.6,2.6,270
"35245",2021,1,1,5,992,"WDA7827",21.3,202.1,6.2,60
"35255",2021,1,1,5,992,"WGAE",20.2,39.1,4.6,180
"35385",2021,1,1,5,992,"KAOU",0.4,205.3,9.3,90
"40329",2021,1,1,6,992,"AMOUK05",51.9,4.1,NA,NA
"40391",2021,1,1,6,992,"WDG7520",48.7,237.5,6.2,150
"40676",2021,1,1,6,992,"WCE5063",41.6,288.6,3.1,290
"41444",2021,1,1,6,992,"WDA7827",21.3,202.1,7.7,40
"41456",2021,1,1,6,992,"WGAE",20.5,39,5.1,120
"41648",2021,1,1,6,992,"KAOU",0.2,205.3,10.8,90
"46375",2021,1,1,7,992,"AMOUK05",51.9,4.1,NA,NA
"46429",2021,1,1,7,992,"WDG7520",48.7,237.5,6.2,130
"46700",2021,1,1,7,992,"WCE5063",41.6,288.6,3.1,310
"47348",2021,1,1,7,992,"WDA7827",21.3,202.1,6.7,50
"47355",2021,1,1,7,992,"WGAE",20.7,38.9,NA,NA
"47496",2021,1,1,7,992,"KAOU",0,205.4,9.3,90
"50980",2021,1,1,8,992,"AMOUK05",51.9,4.1,NA,NA
"51026",2021,1,1,8,992,"WDG7520",48.7,237.5,4.1,150
"51267",2021,1,1,8,992,"WCE5063",41.6,288.6,3.6,320
"51834",2021,1,1,8,992,"WDA7827",21.3,202.1,4.1,50
"51836",2021,1,1,8,992,"WGAE",21,38.8,NA,NA
"51981",2021,1,1,8,992,"KAOU",-0.2,205.4,10.3,80
"56477",2021,1,1,9,992,"AMOUK05",51.9,4.1,NA,NA
"56519",2021,1,1,9,992,"WDG7520",48.7,237.5,2.6,110
"56797",2021,1,1,9,992,"WCE5063",41.6,288.6,4.1,320
"57461",2021,1,1,9,992,"WDA7827",21.3,202.1,5.1,60
"57465",2021,1,1,9,992,"WGAE",21.2,38.8,NA,NA
"57653",2021,1,1,9,992,"KAOU",-0.4,205.4,8.7,80
"62237",2021,1,1,10,992,"AMOUK05",51.9,4.1,NA,NA
"62284",2021,1,1,10,992,"WDG7520",48.7,237.5,5.7,100
"62556",2021,1,1,10,992,"WCE5063",41.6,288.6,0.5,330
"63199",2021,1,1,10,992,"WGAE",21.4,38.9,NA,NA
"63207",2021,1,1,10,992,"WDA7827",21.3,202.1,8.7,50
"63368",2021,1,1,10,992,"KAOU",-0.5,205.4,8.7,90
"67999",2021,1,1,11,992,"AMOUK05",51.9,4.1,NA,NA
"68057",2021,1,1,11,992,"WDG7520",48.7,237.5,4.1,100
"68322",2021,1,1,11,992,"WCE5063",41.6,288.6,1.5,310
"68983",2021,1,1,11,992,"WGAE",21.5,39,NA,NA
"68993",2021,1,1,11,992,"WDA7827",21.3,202.1,8.7,40
"69135",2021,1,1,11,992,"KAOU",-0.7,205.5,8.2,100
"73699",2021,1,1,12,992,"AMOUK05",51.9,4.1,NA,NA
"73757",2021,1,1,12,992,"WDG7520",48.7,237.5,4.1,120
"74050",2021,1,1,12,992,"WCE5063",41.6,288.6,3.1,330
"74829",2021,1,1,12,992,"WGAE",21.4,39.1,NA,NA
"74837",2021,1,1,12,992,"WDA7827",21.3,202.1,7.2,70
"75069",2021,1,1,12,992,"KAOU",-0.9,205.5,7.7,100
"80095",2021,1,1,13,992,"AMOUK05",51.9,4.1,NA,NA
"80151",2021,1,1,13,992,"WDG7520",48.7,237.5,2.1,140
"80468",2021,1,1,13,992,"WCE5063",41.6,288.6,2.1,350
"81173",2021,1,1,13,992,"WGAE",21.4,39.1,NA,NA
"81182",2021,1,1,13,992,"WDA7827",21.3,202.1,6.2,60
"81364",2021,1,1,13,992,"KAOU",-1.1,205.5,8.2,90
"87104",2021,1,1,14,992,"AMOUK05",51.9,4.1,NA,NA
"87156",2021,1,1,14,992,"WDG7520",48.7,237.5,3.1,130
"87469",2021,1,1,14,992,"WCE5063",41.6,288.6,1,300
"88201",2021,1,1,14,992,"WGAE",21.4,39.1,NA,NA
"88210",2021,1,1,14,992,"WDA7827",21.3,202.1,6.2,50
"88387",2021,1,1,14,992,"KAOU",-1.3,205.6,7.7,90
"94195",2021,1,1,15,992,"WDG7520",48.7,237.5,7.7,150
"94520",2021,1,1,15,992,"WCE5063",41.6,288.6,2.1,40
"95265",2021,1,1,15,992,"WGAE",21.4,39.1,NA,NA
"95274",2021,1,1,15,992,"WDA7827",21.3,202.1,6.2,60
"95480",2021,1,1,15,992,"KAOU",-1.5,205.6,8.7,90
"101240",2021,1,1,16,992,"AMOUK05",51.9,4.1,NA,NA
"101294",2021,1,1,16,992,"WDG7520",48.7,237.5,5.7,140
"101608",2021,1,1,16,992,"WCE5063",41.6,288.6,4.1,20
"102334",2021,1,1,16,992,"WGAE",21.4,39.1,NA,NA
"102343",2021,1,1,16,992,"WDA7827",21.3,202.1,4.6,60
"102511",2021,1,1,16,992,"KAOU",-1.7,205.6,8.7,80
"108240",2021,1,1,17,992,"AMOUK05",51.9,4.1,NA,NA
"108288",2021,1,1,17,992,"WDG7520",48.7,237.5,10.3,130
"108599",2021,1,1,17,992,"WCE5063",41.6,288.6,3.1,40
"109329",2021,1,1,17,992,"WGAE",21.4,39.1,NA,NA
"109338",2021,1,1,17,992,"WDA7827",21.3,202.1,1,60
"109513",2021,1,1,17,992,"KAOU",-1.9,205.6,8.7,80
"115298",2021,1,1,18,992,"AMOUK05",51.9,4.1,NA,NA
"115366",2021,1,1,18,992,"WDG7520",48.7,237.5,10.3,130
"115700",2021,1,1,18,992,"WCE5063",41.6,288.6,2.1,30
"116570",2021,1,1,18,992,"WGAE",21.4,39.1,NA,NA
"116581",2021,1,1,18,992,"WDA7827",21.3,202.1,8.2,80
"116851",2021,1,1,18,992,"KAOU",-2,205.7,8.7,80
"122667",2021,1,1,19,992,"AMOUK05",51.9,4.1,NA,NA
"122717",2021,1,1,19,992,"WDG7520",48.7,237.5,7.2,140
"123039",2021,1,1,19,992,"WCE5063",41.6,288.6,1,140
"123764",2021,1,1,19,992,"WGAE",21.4,39.1,NA,NA
"123773",2021,1,1,19,992,"WDA7827",21.3,202.1,4.1,50
"123976",2021,1,1,19,992,"KAOU",-2.3,205.7,7.7,60
"129743",2021,1,1,20,992,"AMOUK05",51.9,4.1,NA,NA
"129795",2021,1,1,20,992,"WDG7520",48.7,237.5,8.2,130
"130125",2021,1,1,20,992,"WCE5063",41.6,288.6,2.1,170
"130853",2021,1,1,20,992,"WGAE",21.4,39.1,NA,NA
"130862",2021,1,1,20,992,"WDA7827",21.3,202.1,5.7,50
"131042",2021,1,1,20,992,"KAOU",-2.5,205.7,9.3,60
"136815",2021,1,1,21,992,"AMOUK05",51.9,4.1,NA,NA
"136863",2021,1,1,21,992,"WDG7520",48.7,237.5,7.2,140
"137181",2021,1,1,21,992,"WCE5063",41.6,288.6,0.5,300
"137928",2021,1,1,21,992,"WGAE",21.4,39.1,NA,NA
"137942",2021,1,1,21,992,"WDA7827",21.3,202.1,9.3,40
"138164",2021,1,1,21,992,"KAOU",-2.7,205.8,6.2,90
"143900",2021,1,1,22,992,"AMOUK05",51.9,4.1,NA,NA
"143944",2021,1,1,22,992,"WDG7520",48.7,237.5,10.8,160
"144253",2021,1,1,22,992,"WCE5063",41.6,288.6,1,120
"144976",2021,1,1,22,992,"WGAE",21.4,39.1,NA,NA
"144985",2021,1,1,22,992,"WDA7827",21.3,202.1,4.6,70
"145166",2021,1,1,22,992,"KAOU",-2.8,205.8,8.2,100
"150993",2021,1,1,23,992,"WDG7520",48.7,237.5,9.3,160
"151301",2021,1,1,23,992,"WCE5063",41.6,288.6,0,250
"152042",2021,1,1,23,992,"WGAE",21.5,39,NA,NA
"152056",2021,1,1,23,992,"WDA7827",21.3,202.1,5.1,70
"152239",2021,1,1,23,992,"KAOU",-3,205.8,8.7,90
"157990",2021,1,2,0,992,"AMOUK05",51.9,4.1,NA,NA
"158049",2021,1,2,0,992,"WDG7520",48.7,237.5,6.7,180
"158388",2021,1,2,0,992,"WCE5063",41.6,288.6,1,170
"159240",2021,1,2,0,992,"WGAE",21.6,38.8,NA,NA
